early_stopped,epochs_run,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802,ok,0.1867,0.161,1
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1857,0.1601,2
True,40,0.0,0.13071578724039234,0.0,1.8843892687393973,0.3468685746192932,-0.032751359045505524,11.7984043842776,0.0,0.0,1.3858603370899478,0.16359606720052536,0.0,1.0104217228167736,0.0,1.310296340162757,0.7089961171150208,0.019798677414655685,5.937794992454422,0.43299470103157434,0.25605826036225626,1.9270219134011919,0.43374254391565276,0.0,0.5833775823301798,0.0,1.7066731883653161,0.8156751394271851,-0.05599549785256386,8.953022783634088,0.4440570814912363,0.2695538728221117,1.6507966805218606,0.3659929589026103,0.0805,ok,0.1852,0.1601,3
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1851,0.1605,4
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1835,0.1601,5
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1857,0.1607,6
True,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.188,0.161,7
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1857,0.1606,8
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802,ok,0.1864,0.1603,9
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1854,0.16,10
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802,ok,0.1868,0.1602,11
True,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.1878,0.1602,12
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0794,ok,0.1862,0.1603,13
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0801,ok,0.1837,0.1596,14
True,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,ok,0.1869,0.1601,15
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,ok,0.1858,0.1605,16
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0652,ok,0.1508,0.1424,17
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1846,0.1603,18
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1858,0.161,19
True,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,ok,0.1876,0.1612,20
