dataset,dataset_label,state,test_seen_mrr20,test_seen_ndcg20,test_seen_hit10
KuaiRecLargeStrictPosV2_0.2,KuaiRec,original,0.3371624130534565,0.3477092529464542,0.3572228443449048
KuaiRecLargeStrictPosV2_0.2,KuaiRec,pure_union,0.6118455467735483,0.6187678671599738,0.6229508196721312
KuaiRecLargeStrictPosV2_0.2,KuaiRec,permissive_union,0.6142430427185012,0.6244048551062114,0.6425339366515838
beauty,Beauty,original,0.0745116736964031,0.100933250221277,0.1375358166189111
beauty,Beauty,pure_union,0.0473599515855312,0.0716734319925308,0.1034482758620689
beauty,Beauty,permissive_union,0.0892348397905245,0.1154029801105841,0.1538461538461538
foursquare,Foursquare,original,0.1722328667428425,0.220059401876063,0.32414068745004
foursquare,Foursquare,pure_union,0.2114305136520134,0.2659511338943539,0.3833693304535637
foursquare,Foursquare,permissive_union,0.2162296249596185,0.2773289242109587,0.4127906976744186
retail_rocket,Retail Rocket,original,0.3691009799222558,0.4290491571492229,0.5610004526935265
retail_rocket,Retail Rocket,pure_union,0.397013417546647,0.4446998954523613,0.5491875923190547
retail_rocket,Retail Rocket,permissive_union,0.2112724012857775,0.2511511253523718,0.3399089529590288
movielens1m,ML-1M,original,0.0614900489971318,0.0970335860206956,0.1477695167286245
movielens1m,ML-1M,pure_union,0.0604575252222455,0.0952573591912791,0.1453077699293642
movielens1m,ML-1M,permissive_union,0.0572418042080846,0.0866923779612191,0.1315468940316687
lastfm0.03,LastFM,original,0.3083029634217118,0.332355561696626,0.3914306463326071
lastfm0.03,LastFM,pure_union,0.3047260848615007,0.3287505899835666,0.3869969040247678
lastfm0.03,LastFM,permissive_union,0.2843364199313025,0.3118645519846015,0.3888888888888889
